[2026-08-10T18:40:21.974Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.117.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:22.020Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.119.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:22.021Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.113.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:22.021Z] GET https://cdn.jsdelivr.net/npm/world-atlas@2/land-110m.json → pending (?ms, ?B)
[2026-08-10T18:43:00.738Z] GET https://w0-0n9.github.io/traivel/?nocache=1786387380 → 200 (131ms, 13211B)
[2026-08-10T18:43:00.914Z] GET https://fonts.googleapis.com/css2?family=Zilla+Slab:wght@600;700&family=Oswald:wght@400;500;600&family=IBM+Plex+Sans+KR:wght@400;500;600;700&display=swap → 200 (?ms, -743B)
[2026-08-10T18:43:00.916Z] GET https://w0-0n9.github.io/traivel/profile.jpg → 200 (?ms, -685B)
[2026-08-10T18:43:00.918Z] GET https://cdn.jsdelivr.net/npm/d3@7/dist/d3.min.js → 200 (?ms, -1103B)
[2026-08-10T18:43:00.918Z] GET https://cdn.jsdelivr.net/npm/topojson-client@3/dist/topojson-client.min.js → 200 (1ms, -1105B)
[2026-08-10T18:43:00.978Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.108.woff2 → 200 (?ms, -814B)
[2026-08-10T18:43:00.979Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.110.woff2 → 200 (?ms, -814B)
[2026-08-10T18:43:00.979Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.112.woff2 → 200 (?ms, -814B)
[2026-08-10T18:43:00.979Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.114.woff2 → 200 (?ms, -814B)
[2026-08-10T18:43:00.979Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.115.woff2 → 200 (?ms, -814B)
[2026-08-10T18:43:00.979Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.116.woff2 → 200 (?ms, -814B)
[2026-08-10T18:43:00.980Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.117.woff2 → 200 (1ms, -814B)
